Organisation,Title,Date,Link,Text
Migrants' Rights Network,New migration measures reinforce classism and racism,11-Dec-23,https://migrantsrights.org.uk/2023/12/11/new-migration-measures-classism-racism/,"Update: On 21st December 2023, the Home Office announced a change on the minimum salary requirement for British nationals bringing foreign family members to the UK, saying the threshold will first be raised to £29,000 instead of £38,700. The new Home Secretary has hit the ground running by announcing measures to bring about “the biggest ever reduction in net migration” in an attempt to cut migration by 300,000. The policies included a crackdown on dependents, raising the minimum salary required in a job offer to obtain a Skilled Worker visa and a review of the Shortage Occupation List. But what does this all mean, what will its impact be, and how are they racist and classist? Pitting workers against each other Much of the language of the Home Secretary’s speech focused on protecting British workers from migrants who will accept lower wages. This was the case for both increasing minimum salary requirements and ending the 20% lower wages for workers filling a role on the Shortage Occupation List (SOL). This pits workers against each other, obscuring the same institutions and systems that are responsible for the exploitation of them all. Giving the same justification of preventing migrants from “undercutting” domestic workers, the Home Secretary also announced that the SOL will be reviewed, in order to remove certain occupations from the list. While we agree with the scrapping of measures that allow employers to pay migrant workers 20% less than domestic workers, especially in already low-paid industries, we oppose the SOL. In fact, the Migration Advisory Committee has recommended that it be abolished. Migrants shouldn’t be restricted to certain roles. People come to the UK with a variety of skills and knowledge – why are we trying to restrict that? Alongside extortionate increases in the health surcharge, the measures amount to the creation of a two-tiered society for migrants, where only middle/upper-middle class people and above are able to migrate to this country and bring their families and survive. Even for people who do meet this threshold and don’t work in health or social care, health surcharge payments for a family can be financially debilitating – £11,000 for a family of six before the higher rate is even calculated. We don’t believe that migrants should be accepted solely on the criteria of their economic “contribution” , and, therefore, shut out if they don’t meet this. Of course migrants are essential to core industries, such as healthcare and hospitality, and without them these sectors would undoubtedly collapse. But this shouldn’t need to be said. Our pro-migrant arguments should be centred around solidarity and compassion, not around “contribution”. Breaking up families The news that people on the Health and Care Worker visa will be unable to bring dependents to the UK will break up families. Splitting up migrant families is becoming something of a trend, following the end to students being able to bring dependents with them on a Tier 4 visa, with the only exception being people on postgraduate research courses. It is unrealistic for the Government to expect the same numbers of migrants working in health and social care (a sector that has been reliant on overseas workers in recent years)  to leave their families behind, with many likely having care responsibilities. This move will increase isolation, especially in an already hostile environment for migrants. The other policy that the Government introduced that will affect families is the drastic increase in the minimum income level for family visas from £18,600 to £38,700. These policies are discriminatory. The right to a family life has become a class privilege- one that is gendered and racialised, as women and people of Colour earn less on average than White men. People of Colour in the UK are 2.5 times more likely to be in poverty compared to White people due to the systems of racism and capitalism. For women, we must consider not just the gender pay gap , but also the conditions of patriarchy that place caring responsibilities in paid and unpaid roles primarily on women. Students International students are already subjected to intrusive monitoring and strict visa conditions, which we are investigating as part of our research . It is already cruel and unfair to deny most international students the ability to bring their families with them to the UK, but these latest restrictions on their visa further limit their freedom and future in this country. It relies on the false notion that international students are using student visas as a means to get to this country under false pretences. This is a nonsensical argument considering the thousands they will have invested to come to study, and how the hostile environment and compliance monitoring of international students means they must complete their studies to remain in the UK. All this does is demonise these students, who instead require more lenience, in relation to the stresses of constant monitoring and strict limitations on their ability to switch to other visas once completing their course. With a pending review of the Graduate visa, we already know that employers do not always understand how the Graduate visa scheme functions, and that after the two years sponsorship free employment it offers, there is difficulty in transitioning to a sponsored visa system after its expiry. Therefore, it is clear that the Graduate visa does need to change, but not in a way that makes life in the UK harder for people on this route. Fundamentally, the new measures announced as part of the Government’s attack on a huge swathe of migrants here and those intending to come, will cause immense amounts of harm to communities, ignoring why people come to the UK in the first place. For many workers in low paid jobs, the UK has had a hand in creating the conditions in which they were forced to emigrate to work, whether through the legacies of past colonial exploitation, support for neoliberal economic policies that disadvantage workers, or support for repressive governments. The persistent fixation on net migration figures is a political distraction technique that has devastating consequences for migrant communities. Viewing migrants only as numbers and not as people is dehumanising, and we should be welcoming more migrants at this time. We cannot let this Government divide us and manufacture problems to blame on migrants."
Migrants' Rights Network,Digital Hostile Environment: Passports and Facial Recognition,28-Nov-23,https://migrantsrights.org.uk/2023/11/28/passport-facial-recognition/,"The Government has proposed using people’s passports and biometric residence permits for facial recognition. This kind of technology contributes to the increasing digitisation of the border, pushing border surveillance deeper into all of our lives. At MRN, we are concerned about the usage of travel and visa documents being used in this way, as it increases the precarious status of migratised communities in particular. We will be challenging this practice alongside our wider opposition to plans to share personal data with the police and Home Office What’s the plan? The proposal for using people’s identification documents in domestic criminal investigations comes after supermarkets reported increased numbers of thefts amidst the ongoing cost of living crisis. The policing minister, Chris Philp, revealed this at the Conservative Party conference, stating that police officers will soon be instructed to search these databases. His statement followed an announcement from the Home Office and Ministry of Defence on expanding the use of facial recognition technology. The Policing Minister has since called for police forces to double their usage of this technology by May 2024 This comes amidst the Data Protection and Digital Information Bill, which could remove passports from Britain’s successor to GDPR regulations, as well as routes to effective judicial redress. It is alarming that the already lax laws governing the usage of this kind of personal data could be weakened more. It is also essential to contextualise these moves within other authoritarian legislation, such as the Public Order Act 2022, and the increasing usage of facial recognition technology. The gendered and racialised inaccuracies of the technology are worrying and reason enough to halt the expansion of facial recognition and the sources it draws from, but we fundamentally oppose it for the following reasons: The expansion of surveillance into all of our lives disproportionately affects migratised people by expanding the digital Hostile Environment. In particular, this technology advances data collection about people’s movement within London, extending the surveillance of migratised populations that already takes place through GPS ankle tagging and data sharing in public services, like the NHS, and social services. We should be stopping all data sharing of this nature, not expanding it. Check out our other work on the digital hostile environment and digitisation of the UK border."
Migrants' Rights Network,Deprivation of citizenship is Islamophobic,20-Nov-23,https://migrantsrights.org.uk/2023/11/20/deprivation-of-citizenship-is-islamophobic/,"A blog for Islamophobia Awareness Month 2023 Greater powers to deprive people of their British citizenship were introduced under the Nationality and Borders Act 2022. But the laws to deprive certain citizens of their citizenship has been in power a lot longer, and interestingly it is used predominantly for selected groups of people. It’s important to look at who these laws are aimed at and why. Who is being targetted? Denial or deprivation of citizenship is a core part of embedding Islamophobia in policy, particularly in Europe, South Asia and the US. This is also the case in the UK, where immigration and nationality legislation over the last twenty years has made it easier to deprive people of British citizenship. Muslims are most affected by these powers. Deprivation of citizenship is therefore a primary aspect of Islamophobia in Britain’s migration system. Racism, Islamophobia + gender The subjects of citizenship deprivation in Britain on ‘public good’ grounds have almost exclusively been Muslim and largely from a South Asian, Middle Eastern or North African background. An investigation carried out by the New Statesman discovered that 41% of People of Colour in Britain could be potentially deprived of their citizenship versus 5% of White people. Therefore, it is clear that racialised citizens and Muslims in particular are considered ‘less’ British by the State.  There is significant evidence to demonstrate the connections between racist War on Terror logics and citizenship deprivation . This racism is especially evident in cases affecting people with Bangladeshi heritage . The Immigration Act 2014 allowed the Government to deprive people of their citizenship even if they hold no other citizenship. For those from Bangladeshi heritage, the UK Government  misinterpreted Bangladeshi citizenship law, where it states that people of Bangladeshi heritage are able to claim Bangladeshi citizenship, but this must be claimed by the age of 21. In all of these cases , they were able to retain their British citizenship, because they were over 21. Shamima Begum is a prominent case here. The UK Government revoked her citizenship based on the assumption that she would not be left ‘stateless’ but would have access to  Bangladeshi citizenship. However, Bangladesh has been adamant that her claim to Bangladeshi citizenship would be refused if she attempted to claim it. Another public example of citizenship deprivation has been the case for Abu Hamza, where Egypt stripped him of his citizenship. At the same time, the British Government attempted to do the same, and attempted to deport him to Egypt. In the end, he was extradited to the USA. Citizenship deprivation is also gendered, as it is mostly men who are impacted. This reflects a decades-long construction of racialised men as emblematic of a foreign threat to the nation. These are examples of a double standard of punishment for Muslim and racialised British citizens, where the British Government dispossesses them and abdicates responsibility, but there is not the same basis for White Britons with sole British citizenship. This is exacerbated by the fact that most cases of citizenship deprivation now take place while the person is out of the country and therefore unable to re-enter Britain. As long as the practice of deprivation of citizenship continues in this manner, Muslims and People of Colour will always have second-class citizenship in Britain. Counter-terror Deprivation of citizenship and counter-terror laws are linked: most cases of deprivation on ‘public good’ grounds have been justified using counter-terror legislation. The disproportionate impact of citizenship deprivation on Muslims and People of Colour is amplified by the UK’s counter-terror measures that contribute to heightened Islamophobia. Together, citizenship deprivation and counter-terror powers intensify the idea that Muslims and migratised groups are ‘anti-British’. The definitions of offences warranting deprivation of citizenship are vague and subjective – in situations where the Home Secretary views deprivation to be conducive to the public good. This includes references to ‘terrorism’ and ‘extremism’, which have often been defined in relation to the political objectives of the British Government, such as the controversial proscription of the LTTE (Liberation Tigers of Tamil Eelam) and the PKK (Kurdistan Workers’ Party). This leaves room for ‘arbitrary application and abuse’; neither ‘public good’ in nationality legislation nor ‘extremism’ are adequately defined . This is evident in the lowering of the barrier of proof for counter-terror offences, where intention is given less value than in other crimes, and where defendants bear the burden of proving innocence. This means that migration is increasingly viewed through national security terms against a backdrop of Islamophobia reinforced by the War on Terror. The figure of the migrant is imagined as Muslim, often male, and seen as a (potential) security threat. This is also internalised, extended towards citizens and residents that resemble the ‘Muslim-migrant-terrorist’ i.e. Black or Brown and especially if they are from a Muslim majority country. Muslims, regardless of migration status, experience borders in daily life through a suspicion based on the Islamophobic assumption of their proximity to terrorism , and are always at risk of their citizenship being deprived. That is why an intersectional and anti-oppression approach is essential. It means acknowledging the role Islamophobia and counter-terrorism laws play in immigration legislation and challenging the construction of migrants from Muslim-majority countries as ‘threats’ to the UK. Related posts: Deprivation of citize nship"
Migrants' Rights Network,MAP: Third Workshop,18-Nov-23,https://migrantsrights.org.uk/2023/11/18/map-third-workshop/,"On November 18, 2023, the Day 3 workshops at the Golden Lane Community Centre in the City of London were focused on empowering participants in effective communication and advocacy. The first session, led by Sophie Yates Lu, delved into the art of campaigning. Participants learned strategies to make their voices heard, exploring ways to speak effectively in public and make their stories visible in the digital age. The interaction between Sophie and the fellows fostered an engaging atmosphere, with participants actively sharing experiences and learning practical techniques for impactful self-expression. The second workshop of the day, also conducted by Sophie Yates Lu, focused on media training. This session aimed to equip participants with skills to leverage social media platforms for storytelling, gaining support, and confidently addressing their concerns. The interaction between the speaker and the fellows facilitated a dynamic exchange of ideas, with participants gaining valuable insights into the strategic use of media for advocacy. The day’s workshops concluded with fellows leaving with enhanced communication skills and a better understanding of leveraging media platforms for effective self-expression and issue advocacy. Sophie Yates Lu – “Campaigning and Media Training”"
Migrants' Rights Network,Digitisation of the UK border: EVisas,16-Nov-23,https://migrantsrights.org.uk/2023/11/16/evisas-digitisation-of-the-border/,"As part of the Government’s strategy to fully digitise the UK border by 2025 , the Home Office is switching from physical immigration to documents to eVisas. This accompanies the Electronic Travel Authorisation (ETA) for visitors on short-term visas. Currently, digital status only exists for people on select visas, including the EU Settlement Scheme (EUSS) and the Hong Kong BN(O) visa, but this will be expanded to all migrants, regardless of which visa they are on, by the end of 2024. How will this affect my proof of status? Instead of sharing physical visa documents, like a Biometric Residence Card or Permit, proof of status will be shown by signing in to the ‘View and Prove’ service. This service is also accessible if someone has a Certificate of Application for a certain visa route. In order to prove right to work or rent, people will be able to generate a share code, where an employer or landlord will be able to check the individual’s name, immigration status, and any dates or conditions for their visa’s validity. This is shared through View and Prove. What else changes? People will have to upload a new photo of themselves every 5 years if under 16 and every 10 years if 16 or older. The maximum age this needs to be updated is 70 years old. People will also have to update their photo if they think their appearance has changed significantly. This is self-judged. The updated image is automatically compared against and matched with the existing photo. If the images are not automatically matched by the Home Office’s system, then a manual check may have to be performed by a Home Office caseworker. How do I switch to an eVisa? The expansion will be rolled out throughout 2024, so you do not have to take any steps right now. The Home Office will release updates on when and how to register for an UKVI account. More information on eVisas can be found here . You can also find more of our work on the Digital Hostile Environment here ."
Migrants' Rights Network,Data-sharing and immigration enforcement,16-Nov-23,https://migrantsrights.org.uk/2023/11/16/data-sharing-digital-hostile-environment/,"The Government is expanding data-sharing, within the Home Office, between Government departments, with private entities, like banks, and internationally. These developments are worrying, as they expand access to people’s personal and private data, bringing surveillance in our daily lives, including when accessing vital services like healthcare. Discrimination against migrants and migratised people is enshrined in data-sharing practices. Government guidance has emphasised that this is a form of legal discrimination on the basis of nationality and national or ethnic origin and implicit racial discrimination. This is in accordance with exceptions in Schedules 3 and 23 of the Equality Act 2010, which remove discrimination protections in relation to immigration law enforcement. We are particularly concerned about how data-sharing disproportionately impacts migrants and migratised people, especially those with precarious immigration status.  We are currently looking into these data-sharing agreements and how they are being implemented in order to challenge them. The financial sector The Home Office shares data with financial institutions, like banks and building societies, to prevent people with irregular status from having a bank account. The agreement with the financial sector is being restarted after it was paused in 2019 following the Windrush Scandal and the Government claims to have updated safeguards. The practice of ‘de-risking’ has also resulted in bank account closures as a result of policies around terrorism and “high-risk” countries that disproportionately affect minoritised groups. The expansion of these categories has resulted in civil servants, political figures, and activists being caught up in these practices. Third-party databases are often used in these decisions, where data collected on customers is passed onto banks. Reputational and compliance risk are overzealously applied on grounds of potential implications in terrorism and “politically-exposed persons”. These are vague and therefore subject to biases that link migratised and minoritised populations to terms like “terrorism”, for example if they were born in and send money to relatives in a country deemed to finance terrorism. This has resulted in a massive increase in account closures in recent years, which has impacted marginalised communities in particular. Data protection rules must be properly enforced under financial due diligence and compliance to prevent this. We are also concerned about the way that AI and machine learning are being integrated into this practice, further entrenching biases in decision-making and increasing wrongful closures. We are currently conducting research into how these practices are now taking place, including how they identify individuals. Home Office NHS Reference Number A tracking scheme where the NHS shared patients’ details with the Home Office was suspended in 2018 after a legal challenge from health and civil society groups, including MRN. Now, the Government has introduced new plans to assign Home Office reference numbers to migrants’ NHS files. Adding this reference number would not aid the NHS in identifying patients’ fee status, as they are already notified of who has paid the Immigration Health Surcharge, but would enable the Home Office to track migrants’ healthcare records. This comes after a previous scheme that used NHS data to track down patients allegedly breaching immigration rules was abandoned following a legal challenge pertaining to patient confidentiality, discrimination and deterring migrants from seeking care. The new plans will have the same effect: they immediately single out migratised patients, potentially deterring people from seeking treatment, as well as extending state surveillance over migratised populations’ entire lives. We have written to the Chief Executive of NHS England over this, and will continue to challenge the extension of the border into vital services like healthcare. Passports The Policing Minister recently said that he plans for passport data to be integrated into the Police National Database (PND) for facial recognition purposes in criminal investigations. For foreign nationals not on the passport database, this would be through the immigration and biometrics database. The use of these databases exacerbates the biases that already exist with facial recognition software, enabling further surveillance of racialised and migratised communities. It is important to note that Prevent data also goes on the PND, highlighting how arbitrary the criteria is to be placed on this database. This also shows the discriminatory foundations of the practice, as Prevent has been widely criticised as Islamophobic. Moves to integrate passport and visa biometrics databases into the PND are highly concerning. They expand surveillance over all of us through opaque means of mass data-sharing, harming migrants with precarious status in particular. International data-sharing There have been several developments in deals involving the sharing of data between the UK and EU. Most recently, the UK extension to the EU-US Transatlantic Data Privacy Framework came into effect in October 2023. Through this scheme, US companies can share personal data with the EU, and now the UK. The framework replaces a prior iteration, the Privacy Shield, that the European Court of Justice found contained inadequate safeguards against unlawful surveillance by US state agencies. While this replacement framework aims to fix this, the US has still failed to substantially change its surveillance laws. The UK extension to this comes amidst the Data Protection and Digital Information Bill, which would allow for personal data from the UK to be shared with third countries, even when data protection for unlawful access from foreign authorities is inadequate. There are also two plans for data-sharing involving the EU for the purpose of tracking migrants’ movements through the continent using personal data: the EU Plan for International Data Sharing System and the soon to be announced EU-UK deal for Frontex to share data with UK Border Force. The former involves security-related data being shared between frontline EU forces, like Frontex, and key partner countries, strengthening internal security through new IT developments and expanding this in the future to non-member states. This includes a proposal to compare data stored under the Prüm Convention, containing national biometric, vehicle registration and police record databases, to “third country-sourced data”. The latter deal came out of the European Political Community summit in October. Frontex uses personal data from people travelling through Europe, such as from phones, to “map” migrants’ movements in real time. This deal would see this mapping data shared with the UK Border Force. Expanding data-sharing is worrying. The uses of and access to that data are often opaque, especially when private corporations are involved, and discriminatory, disproportionately affecting migratised and racialised communities and contributing to the excessive surveillance that they are subjected to. This is why we are committed to investigating how these data-sharing agreements are being implemented and raising awareness of this issue more broadly in how it affects our community. You can find out more about how we’re challenging the Digital Hostile Environment here ."
Migrants' Rights Network,Suella’s horrendous legacy: her worst moments,13-Nov-23,https://migrantsrights.org.uk/2023/11/13/suellas-worst-moments/,"Suella Braverman has been sacked as Home Secretary. Over the last year, she has headed up some of the most regressive immigration policies and made some inflammatory, divisive statements about marginalised groups. So, we thought we’d put together a short list of some of the most infamous moments: Her complicity in creating harmful anti-migrant laws and policies Whether it was her involvement in the ‘Illegal Migration’ Act, her proposals to deny citizenship to anyone with a criminal sentence of 12 months , or her obsession with “stopping the boats” , Suella’s commitment to demonising and violating the rights of migratised and racialised communities truly knew no bounds. When she called migrants an “invasion” and a “hurricane” Suella never shied away from scapegoating, whipping up hysteria, and fear mongering, as her “hurricane” comments showed. She had the audacity to claim migrants are an “invasion” when so many migrants are fleeing conflict and instability caused by the West’s colonial legacies and imperialism in Africa, South Asia and the Middle East. She clearly hadn’t heard of the famous quote “we are here because you were there”. Maybe now she has more time on her hands she could go educate herself. When she couldn’t stop dreaming about Rwanda We dream of a world without oppression. Suella dreams of a world where marginalised people are deported to Rwanda. Weird flex but OK. When she fangirled over the British Empire Suella has stated her “pride” for Britain’s colonial history, and that “those on the left are ashamed of our history” . We wonder how someone whose own family has fled the effects of colonialism could be so delusionally unashamed. When she attacked the Refugee Convention Appallingly yet unsurprisingly, the Home Secretary stated she wanted to abandon the 1951 Refugee Convention in favour of stricter measures to limit the eligibility for refugee protection . She believed that the Refugee Convention was not “fit for the modern age” because the threshold was too low. When in reality, the Refugee Convention is not fit for any age because the threshold is far too high. The reasons people flee are complex and numerous, including discrimination, economic instability and climate change, which are all threats to someone’s dignity and quality of life. How much harm is enough for you Suella? And if this wasn’t enough, she also went out of her way to state that people falsely claim they are gay in order to claim asylum. Let that sink in. When she took issue with migrants’ failure to “integrate” Suella expressed concern that migrants have failed to “integrate”. It’s bizarre that migrants should be expected to give up important elements of their identity in order to be respected. Instead of obsessing over how migrants can be forced to “integrate”, let’s dream of a world where migrants are celebrated and respected. When she said people chose to be unhoused She continued to prove how ridiculously out of touch she was when she tweeted that migrant rough sleepers dabble in rough sleeping as a “lifestyle choice”. No one chooses to be unhoused. Austerity policies and the UK’s racist immigration system force people to become unhoused. When she was obsessed with grooming gangs Suella made no secret of her obsession with the ethnicity of grooming gangs. She previously claimed in an interview with Sky News that grooming gang members are “almost all British-Pakistani” , despite Home Office statistics showing that group-based Child Sexual Exploitation (CSE) offenders are most commonly White . This obsession also forms part of a long history of the Home Secretary’s demonisation of Muslim and racialised communities, who are often disproportionately affected by deprivation of citizenship. So called “hate marches” According to the Home Secretary, marching against ongoing settler-colonialism, genocide and ethnic cleansing is hateful ? Ok Suella. TLDR: Suella, you’re the threat And finally, who can forget when she called migrants an “existential challenge for the political and cultural institutions of the West”? She was obsessed with demonising migrants as a “threat”, drawing on the Great Replacement Theory (a White supremacist myth) in order to justify violence against them. In case it’s not abundantly clear, the actual threat to our collective society is racism and divisive rhetoric. Now as the new Home Secretary, James Cleverly, takes her place, we’re anxiously awaiting what his stance on immigration policies will be. We urge him to meet with migrants and ask them what changes they want to see. We hope his legacy won’t be following in his predecessor’s footsteps when it comes to demonising marginalised groups."
Migrants' Rights Network,Digitisation of the UK border: Electronic Travel Authorisation (ETA),13-Nov-23,https://migrantsrights.org.uk/2023/11/13/electronic-travel-authorisation-eta/,"As part of the UK Government’s plans to fully digitise the UK border by 2025, a new Electronic Travel Authorisation (ETA) system will be introduced similar to the e-visa system in the USA and Canada. By the end of 2024, people who do not need a visa to enter the UK will need to have an ETA before they visit. This will impact millions of travellers. What is an ETA? An ETA is a digital permission to travel. The ETA scheme will apply to most visitors to the UK who do not need a visa for stays of less than six months, and who do not have any other immigration status prior to travelling. An ETA will cost £10 per applicant when the scheme opens for nationals from the Gulf states and Jordan, permit multiple journeys and will be valid for two years or until the holder’s passport expires – whichever is sooner. You can find more information on the upcoming changes by checking out the Home Office’s ETA Factsheet . When will the changes come into effect? The scheme will operate for nationals from the Gulf Cooperation Council (GCC) states and Jordan first. From 25th October 2023, Qatari nationals will be the first to use the scheme followed by nationals from Bahrain, Jordan, Kuwait, Oman, United Arab Emirates and Saudi Arabia from 1 February 2024. These nationals will move from being visa nationals to non-visa nationals. This also means the Electronic Visa Waiver (EVW) will cease to operate once moved to the ETA scheme. A worldwide expansion of the scheme will happen throughout 2024. Despite Home Office communications strategies, it is highly likely many will be caught out by the current, and future, changes to the UK border. We know that digitisation of our immigration systems can lead to more issues, so please make sure you are prepared for these pending changes. The Home Office have created a video which aims to provide a quick overview of the ETA and who will need one. Check out our other work on the Digital Hostile Environment ."
Migrants' Rights Network,International Day Against Fascism + Antisemitism,09-Nov-23,https://migrantsrights.org.uk/2023/11/09/international-day-against-fascism-and-antisemitism/,"Content warning- Antisemitic violence. 9 November marks the anniversary of the 1938 Kristallnacht pogrom, where the Nazis brutally killed and injured Jewish people, destroyed over 8000 Jewish homes and businesses, and rounded up 30,000 Jewish men to send to concentration camps. With the rise of far-right, fascist and neo-Nazi groups across Europe, we cannot afford to be indifferent. Indifference legitimises hatred, dehumanisation and eventually, can even pave the way for genocide. This International Day Against Fascism + Antisemitism, we stand firmly against hatred in all its forms. We want to honour the legacy of Jewish-led anti-fascist groups, most notably at the Battle of Cable Street (1936) and in the post-war 43 Group. And we see their legacy in those who continue to fight against the far-right and fascists who intimidate and threaten refugees. Antisemitism, racism and other forms of oppression are on the rise in the UK, and so the struggle against fascism is as important as ever. At a time when migrants and other marginalised groups are facing a sharp increase in hate, scapegoating, hostility and violence, we must stand resolutely against indifference. At MRN, we are committed to embedding anti-oppression in our work. We recognise that all struggles are interconnected. Justice for one cannot be achieved without justice for all."
Migrants' Rights Network,"Silent genocides: Congo, Armenia + Sudan",07-Nov-23,https://migrantsrights.org.uk/2023/11/07/silent-genocides/,"As the world watches in horror at the atrocities in Palestine, we must acknowledge that too little attention has been paid to the genocides unfolding in other parts of the world: in Armenia, Congo and Sudan. At MRN, we will always speak up and use our platform to raise awareness of any situation where people are being forcibly displaced. To be silent is to uphold violence. We refuse to be complicit. Congo The Democratic Republic of Congo (DRC) continues to suffer the legacies of colonialism and imperial interventions. The Congolese people have been colonised, enslaved, murdered and systematically oppressed by Belgium to extract its resources. At least 10 million people died under Belgium’s rule. Even after Congo gained independence, Western governments and corporations have continued to intervene and create instability, so they can continue to extract raw minerals and wealth, such as uranium. Belgium and the USA were complicit in the murder of Congo’s anti-colonial independence leader, Patrice Lumumba, in 1961 , after which Mobutu Sese Seko was installed as dictator. Today, Congolese civilians are being massacred by the Rwanda-backed M23 rebels , as part of a long history of Western and corporate intervention in the DRC. Western corporations profit from the mining of coltan, cobalt, gold, diamond and other minerals in the DRC , whilst the West (the UK, US and France) has been providing military funding to both Rwandan and Ugandan militias in Congo . The UK has also remained silent on Rwanda’s role in the violence, which is unsurprising given the Rwanda deportation deal. Since 1996, at least 6 million Congolese have died, and millions have been displaced and are suffering, so the West can continue to benefit from Congo’s resources , and access them for cheap rates . At MRN, we call for safe routes for all those affected, and for an end to Western corporate and government interference. Armenia As suffering and gross injustices in the Global South continue to be overlooked, we condemn the genocide against the Armenian people. Armenians have been ethnically cleansed and displaced as part of a genocide by Azerbaijan, with the backing of Turkey. Over 100,000 people have been forced to leave the area after facing months of blockades. No-one should be forced to leave their homes or be displaced, but when they are, we should be offering safe routes for those that want them. We call for an end to the occupation and genocide of the Armenian people in Artsakh. Sudan Since April this year, war has raged in Sudan between the Rapid Support Forces (RSF) and the Sudanese Armed Forces (SAF), in the aftermath of a derailed revolution by the Sudanese people. Popular protests toppled the dictatorship of Omar Al-Bashir in 2019, which was followed by a military coup by the leaders of the SAF and RSF in 2021, who were working together at the time. But now, thousands have been killed and millions forced to flee as a result of a power struggle between the RSF and SAF, while the Sudanese people face untold atrocities, violence, starvation and disease at the hands of both factions . Over 9,000 have died, whilst at least 5 million have been displaced. The RSF continues to be funded by the UAE , whilst Israel has funded both factions . This power struggle has “disproportionately affected those already suffering under a continuing genocide in Darfur” . The UK Government and the West have failed the people of Sudan. In contrast to the safe routes it provided for Ukrainians, the UK has clearly demonstrated its indifference to the suffering of people from the Global South. Safe routes should be provided regardless of nationality or ethnicity. We have a duty to assist those who are suffering and to stand in solidarity with all oppressed people."
